Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,17-10-2018,294,296.5,298.35,284.65,290,288.5,291.49,3877700,1130301973,75912,1216662,31.38
BHARTIARTL,EQ,19-10-2018,288.5,287,293.2,284.6,286.9,287.3,288.7,3730327,1076956194,52197,1503219,40.3
BHARTIARTL,EQ,22-10-2018,287.3,289.45,290,276.85,289.45,285.75,283.7,6531421,1852939723,97890,3003702,45.99
BHARTIARTL,EQ,23-10-2018,285.75,283.05,290.6,283,285.8,285.9,286.22,6637533,1899819232,86004,4231456,63.75
BHARTIARTL,EQ,24-10-2018,285.9,290,328.75,286.65,311.55,315.85,304.18,12195277,3709608400,131057,4434516,36.36
BHARTIARTL,EQ,25-10-2018,315.85,307,310.4,292.15,296,295.55,300.05,15304817,4592284198,129260,5987193,39.12
BHARTIARTL,EQ,26-10-2018,295.55,297.1,306,287,297.45,297.95,297.97,7858963,2341727930,77538,1167509,14.86
BHARTIARTL,EQ,29-10-2018,297.95,299.1,303.55,290,293.65,294.1,296.73,5651902,1677085895,61780,1839262,32.54
BHARTIARTL,EQ,30-10-2018,294.1,294.45,297.2,289.35,291.5,292.6,293.24,4807626,1409776007,54746,2173900,45.22
BHARTIARTL,EQ,31-10-2018,292.6,292.9,295,278.9,291.35,292.35,287.48,7357453,2115129638,78355,2576766,35.02
BHARTIARTL,EQ,01-11-2018,292.35,293,298,287.35,293.9,293.5,293.75,4748038,1394721302,53522,1400232,29.49
BHARTIARTL,EQ,02-11-2018,293.5,293.9,307.8,293.5,302.55,302.05,302.17,4425655,1337317545,50188,689557,15.58
BHARTIARTL,EQ,05-11-2018,302.05,300.8,305.4,298,303.25,303.2,301.82,4363411,1316953779,69159,1861634,42.66
BHARTIARTL,EQ,06-11-2018,303.2,304,307.95,302.9,304.1,305.05,305.3,2653071,809988726.5,43634,1061422,40.01
BHARTIARTL,EQ,07-11-2018,305.05,309,309,303.95,306,306.25,306.22,276702,84731519.55,3414,21910,7.92
BHARTIARTL,EQ,09-11-2018,306.25,289.8,303.4,288.7,297.4,299.75,298.24,8495072,2533573737,101544,1907872,22.46
BHARTIARTL,EQ,12-11-2018,299.75,301,305,294,296.25,296.2,298.19,6121627,1825413218,54809,3244843,53.01
